"","tag","upstream1","upstream2","upstream_diff"
"99","304",32.5885146868245,32.5885146868245,0
"100","320",30.5790587565808,30.5790587565808,0
"101","33",37.8974091596859,34.2942098621696,-3.60319929751637
"102","343",24.9934717025702,25.0934717025702,0.100000000000044
"103","350",23.2563512987946,24.0076640724027,0.75131277360811
"104","358",4.2140208000299,4.2140208000299,0
"105","361",2.42219571911463,2.35212321755975,-0.0700725015548871
"106","512",42.3138931253455,42.1541036953155,-0.159789430029946
"107","515",42.3138931253455,42.863154463207,0.549261337861559
"108","534",38.4069923987522,38.5670635910194,0.160071192267274
"109","578",30.7482126276155,30.7482126276155,0
"110","589",30.4430220467933,30.4430220467933,0
"111","618",20.1946945635384,20.5026469858289,0.307952422290498
"112","626",19.1608027105889,5.65154489231699,-13.5092578182719
