Fish #,Latitude,Longitude,Length,Recap Tag#,
284,65.3865,-147.2526,303,300,
285,65.3865,-147.2526,264,-,
286,65.3861,-147.2653,291,-,
287,65.3861,-147.2653,250,-,
288,65.3861,-147.2653,262,-,
289,65.3861,-147.2653,295,-,
290,65.3861,-147.2653,272,-,
291,65.3861,-147.2653,268,-,
292,65.3861,-147.2653,272,-,
293,65.3861,-147.2653,254,-,
294,65.3930,-147.3058,252,-,
295,65.3930,-147.3058,273,-,
296,65.3930,-147.3058,328,-,
297,65.3930,-147.3058,285,-,
298,65.3930,-147.3058,270,-,
299,65.3930,-147.3058,254,-,
300,65.3930,-147.3058,361,-,
301,65.3930,-147.3058,302,-,
302,65.3930,-147.3058,272,-,
303,65.3929,-147.3084,280,-,
304,65.3929,-147.3084,305,-,
305,65.3929,-147.3084,330,-,
306,65.3929,-147.3084,326,-,
307,65.3929,-147.3084,280,-,
308,65.3929,-147.3084,297,-,
309,65.3929,-147.3084,262,-,
310,65.3910,-147.3109,328,-,
311,65.3910,-147.3109,300,-,
312,65.3910,-147.3109,289,-,
313,65.3910,-147.3109,315,-,
314,65.3910,-147.3109,326,-,
315,65.3910,-147.3109,278,-,
316,65.3910,-147.3109,353,-,
317,65.3910,-147.3109,266,-,
318,65.3904,-147.3242,259,-,
319,65.3904,-147.3242,273,-,
320,65.3904,-147.3242,290,-,
321,65.3904,-147.3242,312,-,
322,65.3904,-147.3242,274,-,
323,65.3891,-147.2736,264,-,
324,65.3891,-147.2736,302,-,
325,65.3891,-147.2736,254,-,
326,65.3891,-147.2736,268,-,
327,65.3891,-147.2736,275,-,
328,65.3874,-147.2842,273,-,
329,65.3874,-147.2842,251,-,
330,65.3874,-147.2842,309,-,
331,65.3896,-147.2877,282,-,
332,65.3883,-147.3250,312,-,
333,65.3883,-147.3250,293,-,
334,65.3883,-147.3250,274,-,
335,65.3883,-147.3250,292,-,
336,65.3883,-147.3250,273,-,
337,65.3883,-147.3250,294,-,
338,65.3883,-147.3250,314,-,
339,65.3883,-147.3250,251,-,
340,65.3883,-147.3250,300,-,
341,65.3868,-147.3211,313,-,
342,65.3868,-147.3211,296,-,
343,65.3868,-147.3211,293,-,
344,65.3868,-147.3211,281,-,
345,65.3843,-147.3306,253,-,
346,65.3843,-147.3306,251,-,
347,65.3843,-147.3306,337,-,
348,65.3843,-147.3306,250,-,
349,65.3842,-147.3648,278,-,
350,65.3842,-147.3648,300,-,
351,65.3826,-147.3646,274,-,
352,65.3826,-147.3646,323,-,
353,65.3826,-147.3646,282,-,
354,65.3789,-147.3621,325,-,
355,65.3784,-147.3701,316,-,
356,65.3784,-147.3701,297,-,
357,65.3784,-147.3701,252,-,
358,65.3784,-147.3701,298,-,
359,65.3824,-147.3771,353,-,
360,65.3824,-147.3771,283,-,
361,65.3824,-147.3771,251,-,
362,65.3824,-147.3771,305,-,
363,65.3824,-147.3771,280,Recap,"Fish got away, before recording tag, but a recap."
364,65.3824,-147.3771,285,-,
365,65.3824,-147.3771,273,-,
366,65.3858,-147.3761,255,-,
367,65.3858,-147.3761,265,-,
368,65.3853,-147.3524,330,-,
369,65.3853,-147.3524,266,97,
370,65.3853,-147.3524,282,-,
371,65.3853,-147.3524,284,-,
372,65.3853,-147.3524,266,-,
373,65.3853,-147.3642,276,113,
374,65.3853,-147.3642,262,115,
375,65.3853,-147.3642,327,-,
376,65.3853,-147.3642,250,-,
377,65.3853,-147.3642,307,-,
378,65.3853,-147.3642,313,-,
379,65.3853,-147.3646,260,-,
380,65.3853,-147.3646,304,-,
381,65.3853,-147.3646,257,-,
382,65.3853,-147.3646,278,-,
383,65.3853,-147.3646,350,-,
384,65.3853,-147.3646,311,-,
385,65.3807,-147.3628,285,-,
386,65.3807,-147.3628,284,-,
387,65.3807,-147.3628,293,-,
388,65.3807,-147.3628,272,-,
389,65.3807,-147.3628,300,-,
390,65.3793,-147.3619,292,-,
391,65.3793,-147.3619,272,-,
392,65.3793,-147.3619,290,-,
393,65.3827,-147.3755,280,-,
394,65.3782,-147.3661,251,-,
395,65.3782,-147.3661,273,-,
396,65.3782,-147.3661,281,-,
397,65.3782,-147.3661,316,-,
398,65.3782,-147.3661,268,-,
399,65.3782,-147.3661,307,-,
400,65.3782,-147.3708,311,-,
401,65.3782,-147.3708,257,117,
402,65.3782,-147.3708,258,-,
403,65.3829,-147.3734,321,-,
404,65.3829,-147.3734,278,-,
405,65.3829,-147.3734,265,-,
406,65.3829,-147.3734,292,-,
407,65.3829,-147.3734,270,-,
408,65.3829,-147.3734,287,-,
409,65.3829,-147.3734,298,-,
410,65.3829,-147.3734,284,-,
411,65.3829,-147.3734,254,-,
412,65.3829,-147.3734,271,-,
413,65.3857,-147.3754,262,-,
414,65.3857,-147.3760,256,-,
415,65.3794,-147.3589,265,-,
416,65.3794,-147.3589,255,-,
417,65.3784,-147.3636,261,-,
418,65.3784,-147.3636,251,-,
419,65.3784,-147.3636,252,-,
420,65.3784,-147.3636,256,-,
421,65.3784,-147.3636,261,-,
422,65.3784,-147.3636,267,-,
423,65.3784,-147.3636,253,-,
424,65.3784,-147.3636,254,-,
425,65.3784,-147.3636,254,-,
426,65.3784,-147.3636,259,-,
427,65.3784,-147.3636,251,-,
428,65.3784,-147.3636,252,-,
429,65.3784,-147.3636,266,-,
430,65.3785,-147.3633,269,-,
431,65.3785,-147.3633,285,-,
432,65.3785,-147.3633,252,-,
433,65.3855,-147.3752,266,-,
434,65.3855,-147.3752,261,-,
435,65.3855,-147.3752,252,-,
436,65.3855,-147.3752,260,-,
437,65.3855,-147.3752,274,-,
438,65.3855,-147.3752,276,-,
439,65.3860,-147.3778,251,-,
440,65.3860,-147.3778,255,-,
441,65.3860,-147.3778,257,-,
442,65.3860,-147.3778,253,-,
443,65.3860,-147.3778,255,-,
444,65.3860,-147.3778,276,-,
445,65.3831,-147.3364,274,-,
446,65.3831,-147.3364,278,-,
447,65.3831,-147.3364,285,-,
448,65.3831,-147.3364,303,-,
449,65.3831,-147.3364,264,-,
450,65.3831,-147.3364,311,64,
451,65.3831,-147.3364,329,-,
452,65.3831,-147.3321,251,-,
453,65.3831,-147.3321,292,-,
454,65.3831,-147.3321,325,-,
455,65.3831,-147.3321,278,-,
