Fish #,Latitude,Longitude,Length,Mark Tag#,,,,
195,65.3779,-147.6599,255,211,,,,
196,65.3779,-147.6599,254,212,,,,
197,65.3779,-147.6599,280,213,,,,
198,65.3779,-147.6599,258,214,,,,
199,65.3779,-147.6599,268,215,,,,
200,65.3779,-147.6599,305,216,,,,
201,65.3779,-147.6599,259,217,,,,
202,65.3779,-147.6599,283,218,,,,
203,65.3779,-147.6599,268,219,,,,
204,65.3779,-147.6599,252,220,,,,
205,65.3793,-147.6846,296,221,,,,
206,65.3793,-147.6846,275,222,,,,
207,65.3808,-147.6983,292,223,,,,
208,65.3808,-147.6983,277,224,,,,
209,65.3808,-147.6983,265,225,,,,
210,65.3819,-147.7033,250,226,,,,
211,65.3819,-147.7033,265,227,,,,
212,65.3819,-147.7033,285,228,,,,
213,65.3820,-147.7082,250,229,,,,
214,65.3820,-147.7082,280,230,,,,
215,65.3813,-147.7135,295,231,,,,
216,65.3813,-147.7135,305,232,,,,
217,65.3813,-147.7135,265,233,,,,
218,65.3813,-147.7135,255,234,,,,
219,65.3813,-147.7135,303,235,,,,
220,65.3798,-147.7358,273,236,,,,
221,65.3798,-147.7358,287,237,,,,
222,65.3798,-147.7358,308,238,,,,
223,65.3798,-147.7358,283,239,,,,
224,65.3798,-147.7358,275,240,,,,
225,65.3798,-147.7358,302,241,,,,
226,65.3798,-147.7358,none,242,Tag numbers entered as lengths,,,
227,65.3798,-147.7358,none,243,Tag numbers entered as lengths,,,
228,65.3798,-147.7358,250,244,,,,
229,65.3798,-147.7358,285,246,,,,
230,65.3786,-147.7440,342,247,,,,
231,65.3786,-147.7440,278,248,,,,
232,65.3770,-147.7450,275,249,,,,
233,65.3837,-147.0926,261,501,,,,
234,65.3760,-147.0941,277,502,,,,
235,65.3794,-147.0969,279,503,,,,
236,65.3827,-147.1009,255,504,,,,
237,65.3868,-147.1243,259,506,,,,
238,65.3868,-147.1243,275,507,,,,
239,65.3904,-147.1406,293,508,,,,
240,65.3904,-147.1406,285,510,,,,
241,65.3904,-147.1406,283,511,,,,
242,65.3919,-147.1421,318,512,,,,
243,65.3919,-147.1421,346,513,,,,
244,65.3919,-147.1421,251,514,,,,
245,65.3919,-147.1421,267,515,,,,
246,65.3938,-147.1660,283,516,,,,
247,65.3938,-147.1660,275,517,,,,
